,cash,cash_weight
2010-01-04,-1.7621459846850485e-12,-1.7624984843819248e-16
2010-01-05,-1.7621459846850485e-12,-1.7603302134081993e-16
2010-01-06,-1.7621459846850485e-12,-1.7609330924239422e-16
2010-01-07,-1.7621459846850485e-12,-1.7617985521514395e-16
2010-01-08,-1.7621459846850485e-12,-1.762692389600375e-16
2010-01-11,-3.704592188569222e-12,-3.702309257457957e-16
2010-01-12,-3.704592188569222e-12,-3.700876113597228e-16
2010-01-13,-3.704592188569222e-12,-3.710781749582806e-16
2010-01-14,-3.704592188569222e-12,-3.706210121191203e-16
2010-01-15,-3.704592188569222e-12,-3.704548741979245e-16
2010-01-18,-2.6636470806806756e-12,-2.662245619281543e-16
2010-01-19,-2.6636470806806756e-12,-2.660930353110021e-16
2010-01-20,-2.6636470806806756e-12,-2.661598964266886e-16
2010-01-21,-2.6636470806806756e-12,-2.661106965312552e-16
2010-01-22,-2.6636470806806756e-12,-2.660657983060775e-16
2010-01-25,-9.610090501155355e-13,-9.597473316434527e-17
2010-01-26,-9.610090501155355e-13,-9.600300725134416e-17
2010-01-27,-9.610090501155355e-13,-9.603238038416606e-17
2010-01-28,-9.610090501155355e-13,-9.602557331240776e-17
2010-01-29,-9.610090501155355e-13,-9.601861801007648e-17
2010-02-01,-1.4530598946294049e-12,-1.451224020297825e-16
2010-02-02,-1.4530598946294049e-12,-1.4493754192739862e-16
2010-02-03,-1.4530598946294049e-12,-1.4464593477306608e-16
2010-02-04,-1.4530598946294049e-12,-1.4475151639231513e-16
2010-02-05,-1.4530598946294049e-12,-1.4490266888789078e-16
2010-02-08,-1.1732836924238654e-12,-1.169164338104815e-16
2010-02-09,-1.1732836924238654e-12,-1.1680267227089764e-16
2010-02-10,-1.1732836924238654e-12,-1.1670419746606432e-16
2010-02-11,-1.1732836924238654e-12,-1.1666131827071342e-16
2010-02-12,-1.1732836924238654e-12,-1.165739057851139e-16
2010-02-22,1.4477308241112041e-12,1.4376531239815993e-16
2010-02-23,1.4477308241112041e-12,1.438676116649465e-16
2010-02-24,1.4477308241112041e-12,1.4377675361485934e-16
2010-02-25,1.4477308241112041e-12,1.4359385680168445e-16
2010-02-26,1.4477308241112041e-12,1.4314515444905824e-16
2010-03-01,-1.0089706847793423e-12,-9.958725333527441e-17
2010-03-02,-1.0089706847793423e-12,-9.955537328899189e-17
2010-03-03,-1.0089706847793423e-12,-9.936600017544456e-17
2010-03-04,-1.0089706847793423e-12,-9.947457589389621e-17
2010-03-05,-1.0089706847793423e-12,-9.939108435230424e-17
2010-03-08,5.577760475716786e-13,5.487608849334588e-17
2010-03-09,5.577760475716786e-13,5.488363456867041e-17
2010-03-10,5.577760475716786e-13,5.4849156958290194e-17
2010-03-11,5.577760475716786e-13,5.487403746026275e-17
2010-03-12,5.577760475716786e-13,5.488090634543186e-17
2010-03-15,-8.695266728864226e-13,-8.558383678414897e-17
2010-03-16,-8.695266728864226e-13,-8.552358233371081e-17
2010-03-17,-8.695266728864226e-13,-8.53688394235902e-17
2010-03-18,-8.695266728864226e-13,-8.535053322066427e-17
2010-03-19,-8.695266728864226e-13,-8.530317775316666e-17
2010-03-22,-3.3095748364075916e-12,-3.2483274128170476e-16
2010-03-23,-3.3095748364075916e-12,-3.2492844428124794e-16
2010-03-24,-3.3095748364075916e-12,-3.2478300350807344e-16
2010-03-25,-3.3095748364075916e-12,-3.250279773136352e-16
2010-03-26,-3.3095748364075916e-12,-3.2494889163396733e-16
2010-03-29,1.1546319456101628e-14,1.1326355132430406e-18
2010-03-30,1.1546319456101628e-14,1.133038510386051e-18
2010-03-31,1.1546319456101628e-14,1.1327365175268596e-18
2010-04-01,-1.2967404927621828e-13,-1.2714569952555059e-17
2010-04-02,-1.2967404927621828e-13,-1.270934747209117e-17
2010-04-06,1.0027534358414414e-12,9.823200872134181e-17
2010-04-07,1.0027534358414414e-12,9.830845247632261e-17
2010-04-08,1.0027534358414414e-12,9.841814977438602e-17
2010-04-09,1.0027534358414414e-12,9.834329372762148e-17
2010-04-12,2.424727085781342e-13,2.377492989573337e-17
2010-04-13,2.424727085781342e-13,2.3755174060687832e-17
2010-04-14,2.424727085781342e-13,2.3750345511117082e-17
2010-04-15,2.424727085781342e-13,2.3744237145446207e-17
2010-04-16,2.424727085781342e-13,2.374733384824382e-17
2010-04-19,2.779998453661392e-13,2.7249489594824915e-17
2010-04-20,2.779998453661392e-13,2.722460688421213e-17
2010-04-21,2.779998453661392e-13,2.7198166347055256e-17
2010-04-22,2.779998453661392e-13,2.7198334309746693e-17
2010-04-23,2.779998453661392e-13,2.718079895007941e-17
2010-04-26,2.7977620220553945e-14,2.7326125773502242e-18
2010-04-27,2.7977620220553945e-14,2.733600334849661e-18
2010-04-28,2.7977620220553945e-14,2.732177569585251e-18
2010-04-29,2.7977620220553945e-14,2.7318964810876563e-18
2010-04-30,2.7977620220553945e-14,2.7302528388670626e-18
2010-05-04,-9.494627306594339e-13,-9.271410419422797e-17
