,RP_a_2_b_4
2010-01-04,0.9998
2010-01-05,1.001032159750043
2010-01-06,1.000688963735916
2010-01-07,1.000196939510561
2010-01-08,0.9996896799763472
2010-01-11,1.0006165565947724
2010-01-12,1.0010009603529642
2010-01-13,0.9983460932441804
2010-01-14,0.9995713401221942
2010-01-15,1.0000203758832067
2010-01-18,1.000536446501955
2010-01-19,1.0010314361477348
2010-01-20,1.0007794950836186
2010-01-21,1.000963874232314
2010-01-22,1.0011327778748347
2010-01-25,1.0013239061220933
2010-01-26,1.0010186089212392
2010-01-27,1.000704664778205
2010-01-28,1.0007751827028166
2010-01-29,1.0008466936966365
2010-02-01,1.0012469472503394
2010-02-02,1.0025286067694377
2010-02-03,1.0045678346610363
2010-02-04,1.0038285984100137
2010-02-05,1.0027619070381335
2010-02-08,1.0034999559770958
2010-02-09,1.0044777159703573
2010-02-10,1.0053269977818862
2010-02-11,1.0056970293968592
2010-02-12,1.0064536318329649
2010-02-22,1.0069952188920963
2010-02-23,1.0062795254984562
2010-02-24,1.006925046914756
2010-02-25,1.0082165757162962
2010-02-26,1.0113719379696582
2010-03-01,1.0131526410057738
2010-03-02,1.0134768182721812
2010-03-03,1.015407394309635
2010-03-04,1.0142992554243044
2010-03-05,1.015151377774
2010-03-08,1.016427489818544
2010-03-09,1.0162884699007857
2010-03-10,1.0169260821771413
2010-03-11,1.01646541402305
2010-03-12,1.016335344253999
2010-03-15,1.0159858792964411
2010-03-16,1.0167101693437015
2010-03-17,1.018574325826655
2010-03-18,1.0187871949180443
2010-03-19,1.019359869302861
2010-03-22,1.0188776509577688
2010-03-23,1.0185725328631376
2010-03-24,1.0190285746632157
2010-03-25,1.0182528416212087
2010-03-26,1.018508587104766
2010-03-29,1.0194519404353843
2010-03-30,1.019088715949276
2010-03-31,1.0193629606140013
2010-04-01,1.0199142747482088
2010-04-02,1.0203317552246662
2010-04-06,1.0208285449183745
2010-04-07,1.020033389132234
2010-04-08,1.0188947935040884
2010-04-09,1.0196700296158268
2010-04-12,1.0198897860640292
2010-04-13,1.0207460094992067
2010-04-14,1.0209539153074274
2010-04-15,1.0212162373358626
2010-04-16,1.0210781970381237
2010-04-19,1.0202128603835185
2010-04-20,1.0211434845830671
2010-04-21,1.0221665561298023
2010-04-22,1.0221361417081256
2010-04-23,1.0227838455059555
2010-04-26,1.023838855776607
2010-04-27,1.0234651698467223
2010-04-28,1.0239950109915805
2010-04-29,1.0240972423903172
2010-04-30,1.0247142161088554
2010-05-04,1.0240580086561482
2010-05-05,1.0239540309618984
2010-05-06,1.0229525718980401
2010-05-07,1.0247801564790415
2010-05-10,1.0252664075921993
2010-05-11,1.0250101627818862
2010-05-12,1.0265133904613222
2010-05-13,1.0279039906429976
2010-05-14,1.0277435392102883
2010-05-17,1.0272422105498518
2010-05-18,1.0286453704703893
2010-05-19,1.029984954959822
2010-05-20,1.0287514128175475
2010-05-21,1.0293400616957575
2010-05-24,1.0303869248546098
2010-05-25,1.029793228948035
2010-05-26,1.0304137308871564
2010-05-27,1.0307107735625822
2010-05-28,1.0305563953802201
2010-05-31,1.0299218811522555
2010-06-01,1.02904429248507
2010-06-02,1.0294205808264445
2010-06-03,1.029956468960513
2010-06-04,1.0298779181965403
2010-06-07,1.030204331895714
2010-06-08,1.030640383641276
2010-06-09,1.0314374451801924
2010-06-10,1.030694903899274
2010-06-11,1.03011154695132
2010-06-17,1.0309156446281276
2010-06-18,1.0287522519869992
2010-06-21,1.0301886183544462
2010-06-22,1.0301406679974663
2010-06-23,1.0298054828120744
2010-06-24,1.0294890682388276
2010-06-25,1.0298409774012616
2010-06-28,1.0309819587473676
2010-06-29,1.0299631224201182
2010-06-30,1.0304411514998084
2010-07-01,1.0304906265933163
2010-07-02,1.0301689910866259
2010-07-05,1.0305364381624305
2010-07-06,1.032574019281236
2010-07-07,1.0328468260457464
2010-07-08,1.033455104133232
2010-07-09,1.0342930979705829
2010-07-12,1.0354026946240542
2010-07-13,1.036154022216962
2010-07-14,1.0375342842237618
2010-07-15,1.037380150822863
2010-07-16,1.0379078973138272
2010-07-19,1.0389029499469153
2010-07-20,1.0395561798027635
2010-07-21,1.039816408266466
2010-07-22,1.0402158371251042
2010-07-23,1.040423990178574
2010-07-26,1.0403199162049233
2010-07-27,1.039703184018925
2010-07-28,1.0399096959804839
2010-07-29,1.0404853284836484
2010-07-30,1.04025620626608
2010-08-02,1.0413082564213627
2010-08-03,1.0406644056132046
2010-08-04,1.041419876478144
2010-08-05,1.0413481420901056
2010-08-06,1.0421579703574215
2010-08-09,1.0429590061565053
2010-08-10,1.0420415057350483
2010-08-11,1.0426598783575696
2010-08-12,1.0435292074059992
2010-08-13,1.0448935429721649
2010-08-16,1.0460761812907575
2010-08-17,1.0464907899698819
2010-08-18,1.0464904076191923
2010-08-19,1.0471952099484403
2010-08-20,1.046932817846195
2010-08-23,1.0472941925074697
2010-08-24,1.0474927712741644
2010-08-25,1.0471033707579078
2010-08-26,1.047158106568992
2010-08-27,1.047000900239305
2010-08-30,1.05014123273974
2010-08-31,1.0497691422702662
2010-09-01,1.050009380360795
2010-09-02,1.0506121731244762
2010-09-03,1.050648685783589
2010-09-06,1.0514736518908812
2010-09-07,1.0508761123919732
2010-09-08,1.0509498240687112
2010-09-09,1.0498092046331322
2010-09-10,1.0490205206147523
2010-09-13,1.048649522234514
2010-09-14,1.0486014584736616
2010-09-15,1.048046137035758
2010-09-16,1.0469875122209722
2010-09-17,1.0471871173844014
2010-09-20,1.0472302898910004
2010-09-21,1.0469415191301255
2010-09-27,1.0478111434090631
2010-09-28,1.0472514454584763
2010-09-29,1.0476681647226194
2010-09-30,1.048771835000516
2010-10-08,1.051201309526577
2010-10-11,1.051794532226118
2010-10-12,1.051937378343976
2010-10-13,1.052639936980887
2010-10-14,1.0533013606317743
2010-10-15,1.0545227398836368
2010-10-18,1.0542410859992748
2010-10-19,1.0550375283637343
2010-10-20,1.0473673084769075
2010-10-21,1.0450846536048195
2010-10-22,1.044831269609685
2010-10-25,1.0466971422949423
2010-10-26,1.044833660186366
2010-10-27,1.0435211736856405
2010-10-28,1.0435304567883523
