,RP,0.8x国债+0.2x沪深300,0.9x国债+0.1x沪深300,中债-国债总财富(总值)指数,中债-信用债总财富(总值)指数,沪深300指数(全收益),上证50(全收益),SGE黄金9999
2010,3.172093734333914,-0.8006820438348328,0.47457949361908724,1.7504836767143095,4.1995455601660625,-10.978685910845442,-21.039484705046796,24.838516410783427
累计收益率,3.044320501767661,-0.7690314402971854,0.4557041301231024,1.6804397005434124,4.02958442867456,-10.5669160036596,-20.29583678311482,23.74431095985896
年化收益率,3.172093734333914,-0.8006820438348328,0.47457949361908724,1.7504836767143095,4.1995455601660625,-10.978685910845442,-21.039484705046796,24.838516410783427
年化波动率,1.7410911634512132,4.70978845388954,2.89244117704204,2.1823571815090754,1.1036394088679244,25.162167188161934,24.741427891626767,14.432986417491938
最大回撤,2.9926156792827117,4.047661523604154,3.708371083148322,4.218194201278493,2.696833506190862,28.978941238105953,28.690000211964197,7.7794325129330595
最大回撤发生区间,20101019-20101130,20101019-20101130,20101019-20101126,20100831-20101126,20100906-20101126,20100105-20100705,20100105-20100701,20100112-20100205
最长回撤持续时间,73,177,73,122,116,304,360,87
最长回撤发生区间,20101019-20101231,20100406-20100930,20101019-20101231,20100831-20101231,20100906-20101231,20100105-20101105,20100105-20101231,20100112-20100409
sharp比率,0.9603711565679699,-0.4884894653675652,-0.35451732416199416,0.11477666389197705,2.4460394749179573,-0.4959304903083348,-0.9110017741811428,1.617026146612215
calmar比率,0.5587398829423669,-0.5683978342601729,-0.27651507451362023,0.05938173179375913,1.0010056438296895,-0.4306122093389856,-0.7856216290875964,3.000028134697985
sortino比率,12.963198331289027,-6.965243951931982,-4.854303681742603,1.4537710457423059,30.382376904918083,-7.315840717684118,-13.895714091957098,25.22105523458668
信息比率(RP),--,21.95675939963571,34.64406224910601,15.438622949121116,-15.155705322237171,11.223632663907397,20.914186641923013,-31.76667148155266
