date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2021-07-27,,,,,,1.0,1.0,1.0
2021-07-28,,,,,,1.0,1.0,1.0
2021-07-29,,,,,,1.0,1.0,1.0
2021-07-30,,,,,,1.0001,1.0001,1.0001
2021-08-02,,,,,,1.0003,1.0003,1.0003
2021-08-03,,,,,,1.0002,1.0002,1.0002
2021-08-04,,,,,,1.0003,1.0003,1.0003
2021-08-05,,,,,,1.0003,1.0003,1.0003
2021-08-06,,,,,,1.0003,1.0003,1.0003
2021-08-09,,,,,,1.0004,1.0004,1.0004
2021-08-10,,,,,,1.0004,1.0004,1.0004
2021-08-11,,,,,,1.0005,1.0005,1.0005
2021-08-12,,,,,,1.0005,1.0005,1.0005
2021-08-13,,,,,,1.0005,1.0005,1.0005
2021-08-16,,,,,,1.0005,1.0005,1.0005
2021-08-17,,,,,,1.0006,1.0006,1.0006
2021-08-18,,,,,,1.0007,1.0007,1.0007
2021-08-19,,,,,,1.0007,1.0007,1.0007
2021-08-20,,,,,,1.0008,1.0008,1.0008
2021-08-23,,,,,,1.0011,1.0011,1.0011
2021-08-24,,,,,,1.0012,1.0012,1.0012
2021-08-25,,,,,,1.0012,1.0012,1.0012
2021-08-26,,,,,,1.0012,1.0012,1.0012
2021-08-27,,,,,,1.0013,1.0013,1.0013
2021-08-30,,,,,,1.0022,1.0022,1.0022
2021-08-31,,,,,,1.0023,1.0023,1.0023
2021-09-01,,,,,,1.0024,1.0024,1.0024
2021-09-02,,,,,,1.0025,1.0025,1.0025
2021-09-03,,,,,,1.0026,1.0026,1.0026
2021-09-06,,,,,,1.0028,1.0028,1.0028
2021-09-07,,,,,,1.0029,1.0029,1.0029
2021-09-08,,,,,,1.0029,1.0029,1.0029
2021-09-09,,,,,,1.0029,1.0029,1.0029
2021-09-10,,,,,,1.0029,1.0029,1.0029
2021-09-13,,,,,,1.0031,1.0031,1.0031
2021-09-14,,,,,,1.0031,1.0031,1.0031
2021-09-15,,,,,,1.0031,1.0031,1.0031
2021-09-16,,,,,,1.0031,1.0031,1.0031
2021-09-17,,,,,,1.003,1.003,1.003
2021-09-22,,,,,,1.0034,1.0034,1.0034
2021-09-23,,,,,,1.0034,1.0034,1.0034
2021-09-24,,,,,,1.0033,1.0033,1.0033
2021-09-27,,,,,,1.0033,1.0033,1.0033
2021-09-28,,,,,,1.0032,1.0032,1.0032
2021-09-29,,,,,,1.0033,1.0033,1.0033
2021-09-30,,,,,,1.0035,1.0035,1.0035
2021-10-08,,,,,,1.0039,1.0039,1.0039
2021-10-11,,,,,,1.0042,1.0042,1.0042
2021-10-12,,,,,,1.0041,1.0041,1.0041
2021-10-13,,,,,,1.004,1.004,1.004
2021-10-14,,,,,,1.004,1.004,1.004
2021-10-15,,,,,,1.0041,1.0041,1.0041
2021-10-18,,,,,,1.0042,1.0042,1.0042
2021-10-19,,,,,,1.0042,1.0042,1.0042
2021-10-20,,,,,,1.0042,1.0042,1.0042
2021-10-21,,,,,,1.0046,1.0046,1.0046
2021-10-22,,,,,,1.0047,1.0047,1.0047
2021-10-25,,,,,,1.0049,1.0049,1.0049
2021-10-26,,,,,,1.0052,1.0052,1.0052
2021-10-27,,,,,,1.0053,1.0053,1.0053
2021-10-28,,,,,,1.0054,1.0054,1.0054
2021-10-29,,,,,,1.0055,1.0055,1.0055
2021-11-01,,,,,,1.006,1.006,1.006
2021-11-02,,,,,,1.0071,1.0071,1.0071
2021-11-03,,,,,,1.007,1.007,1.007
2021-11-04,,,,,,1.0072,1.0072,1.0072
2021-11-05,,,,,,1.0073,1.0073,1.0073
2021-11-08,,,,,,1.0076,1.0076,1.0076
2021-11-09,,,,,,1.0076,1.0076,1.0076
2021-11-10,,,,,,1.0077,1.0077,1.0077
2021-11-11,,,,,,1.0078,1.0078,1.0078
2021-11-12,,,,,,1.0078,1.0078,1.0078
2021-11-15,,,,,,1.0076,1.0076,1.0076
2021-11-16,,,,,,1.0072,1.0072,1.0072
2021-11-17,,,,,,1.0073,1.0073,1.0073
2021-11-18,,,,,,1.0077,1.0077,1.0077
2021-11-19,,,,,,1.0076,1.0076,1.0076
2021-11-22,,,,,,1.0065,1.0065,1.0065
2021-11-23,,,,,,1.0066,1.0066,1.0066
2021-11-24,,,,,,1.0068,1.0068,1.0068
2021-11-25,,,,,,1.0069,1.0069,1.0069
2021-11-26,,,,,,1.0072,1.0072,1.0072
2021-11-29,,,,,,1.0074,1.0074,1.0074
2021-11-30,,,,,,1.0079,1.0079,1.0079
2021-12-01,,,,,,1.0077,1.0077,1.0077
2021-12-02,,,,,,1.0079,1.0079,1.0079
2021-12-03,,,,,,1.0079,1.0079,1.0079
2021-12-06,,,,,,1.0084,1.0084,1.0084
2021-12-07,,,,,,1.0086,1.0086,1.0086
2021-12-08,,,,,,1.0087,1.0087,1.0087
2021-12-09,,,,,,1.0087,1.0087,1.0087
2021-12-10,,,,,,1.0086,1.0086,1.0086
2021-12-13,,,,,,1.0089,1.0089,1.0089
2021-12-14,,,,,,1.009,1.009,1.009
2021-12-15,,,,,,1.0093,1.0093,1.0093
2021-12-16,,,,,,1.0092,1.0092,1.0092
2021-12-17,,,,,,1.0093,1.0093,1.0093
2021-12-20,,,,,,1.0094,1.0094,1.0094
2021-12-21,,,,,,1.0094,1.0094,1.0094
2021-12-22,,,,,,1.0094,1.0094,1.0094
2021-12-23,,,,,,1.0096,1.0096,1.0096
2021-12-24,,,,,,1.0097,1.0097,1.0097
2021-12-27,,,,,,1.01,1.01,1.01
2021-12-28,,,,,,1.0103,1.0103,1.0103
2021-12-29,,,,,,1.0108,1.0108,1.0108
2021-12-30,,,,,,1.0111,1.0111,1.0111
2021-12-31,,,,,,1.0117,1.0117,1.0117
2022-01-04,,,,,,1.0121,1.0121,1.0121
2022-01-05,,,,,,1.0122,1.0122,1.0122
2022-01-06,,,,,,1.0121,1.0121,1.0121
2022-01-07,,,,,,1.0122,1.0122,1.0122
2022-01-10,,,,,,1.0125,1.0125,1.0125
2022-01-11,,,,,,1.0128,1.0128,1.0128
2022-01-12,,,,,,1.0131,1.0131,1.0131
2022-01-13,,,,,,1.0133,1.0133,1.0133
2022-01-14,,,,,,1.0134,1.0134,1.0134
2022-01-17,,,,,,1.0139,1.0139,1.0139
2022-01-18,,,,,,1.0147,1.0147,1.0147
2022-01-19,,,,,,1.0157,1.0157,1.0157
2022-01-20,,,,,,1.0158,1.0158,1.0158
2022-01-21,,,,,,1.0161,1.0161,1.0161
2022-01-24,,,,,,1.0169,1.0169,1.0169
2022-01-25,,,,,,1.0171,1.0171,1.0171
2022-01-26,,,,,,1.0169,1.0169,1.0169
2022-01-27,,,,,,1.0169,1.0169,1.0169
2022-01-28,,,,,,1.0171,1.0171,1.0171
2022-02-07,,,,,,1.0176,1.0176,1.0176
2022-02-08,,,,,,1.0177,1.0177,1.0177
2022-02-09,,,,,,1.0178,1.0178,1.0178
2022-02-10,,,,,,1.0179,1.0179,1.0179
2022-02-11,,,,,,1.0173,1.0173,1.0173
2022-02-14,,,,,,1.0172,1.0172,1.0172
2022-02-15,,,,,,1.0171,1.0171,1.0171
2022-02-16,,,,,,1.0168,1.0168,1.0168
