date,NAV,NAV_ACC,NAV_ADJ,OPEN,HIGH,LOW,CLOSE,PCT_CHG
2009-01-23,1.0,1.0,1.0,,,,,
2009-02-02,1.0,1.0,1.0,,,,,
2009-02-03,1.0,1.0,1.0,,,,,
2009-02-04,1.0,1.0,1.0,,,,,
2009-02-05,1.0,1.0,1.0,,,,,
2009-02-06,1.006,1.006,1.006,,,,,
2009-02-09,1.006,1.006,1.006,,,,,
2009-02-10,1.006,1.006,1.006,,,,,
2009-02-11,1.006,1.006,1.006,,,,,
2009-02-12,1.006,1.006,1.006,,,,,
2009-02-13,1.02,1.02,1.02,,,,,
2009-02-16,1.02,1.02,1.02,,,,,
2009-02-17,1.02,1.02,1.02,,,,,
2009-02-18,1.02,1.02,1.02,,,,,
2009-02-19,1.02,1.02,1.02,,,,,
2009-02-20,1.012,1.012,1.012,,,,,
2009-02-23,1.012,1.012,1.012,,,,,
2009-02-24,1.012,1.012,1.012,,,,,
2009-02-25,1.012,1.012,1.012,,,,,
2009-02-26,1.012,1.012,1.012,,,,,
2009-02-27,0.991,0.991,0.991,,,,,
2009-03-02,0.991,0.991,0.991,,,,,
2009-03-03,0.991,0.991,0.991,,,,,
2009-03-04,0.991,0.991,0.991,,,,,
2009-03-05,0.991,0.991,0.991,,,,,
2009-03-06,1.0,1.0,1.0,,,,,
2009-03-09,1.0,1.0,1.0,,,,,
2009-03-10,1.0,1.0,1.0,,,,,
2009-03-11,1.0,1.0,1.0,,,,,
2009-03-12,1.0,1.0,1.0,,,,,
2009-03-13,0.992,0.992,0.992,,,,,
2009-03-16,0.992,0.992,0.992,,,,,
2009-03-17,0.992,0.992,0.992,,,,,
2009-03-18,0.992,0.992,0.992,,,,,
2009-03-19,0.992,0.992,0.992,,,,,
2009-03-20,1.012,1.012,1.012,,,,,
2009-03-23,1.021,1.021,1.021,,,,,
2009-03-24,1.025,1.025,1.025,,,,,
2009-03-25,1.012,1.012,1.012,,,,,
2009-03-26,1.032,1.032,1.032,,,,,
2009-03-27,1.039,1.039,1.039,,,,,
2009-03-30,1.036,1.036,1.036,,,,,
2009-03-31,1.043,1.043,1.043,,,,,
2009-04-01,1.059,1.059,1.059,,,,,
2009-04-02,1.069,1.069,1.069,,,,,
2009-04-03,1.067,1.067,1.067,,,,,
2009-04-07,1.07,1.07,1.07,,,,,
2009-04-08,1.036,1.036,1.036,,,,,
2009-04-09,1.051,1.051,1.051,,,,,
2009-04-10,1.093,1.093,1.093,,,,,
2009-04-13,1.12,1.12,1.12,,,,,
2009-04-14,1.133,1.133,1.133,,,,,
2009-04-15,1.145,1.145,1.145,,,,,
2009-04-16,1.145,1.145,1.145,,,,,
2009-04-17,1.129,1.129,1.129,,,,,
2009-04-20,1.151,1.151,1.151,,,,,
2009-04-21,1.136,1.136,1.136,,,,,
2009-04-22,1.082,1.082,1.082,,,,,
2009-04-23,1.099,1.099,1.099,,,,,
2009-04-24,1.094,1.094,1.094,,,,,
2009-04-27,1.073,1.073,1.073,,,,,
2009-04-28,1.075,1.075,1.075,,,,,
2009-04-29,1.101,1.101,1.101,,,,,
2009-04-30,1.118,1.118,1.118,,,,,
2009-05-04,1.158,1.158,1.158,,,,,
2009-05-05,1.159,1.159,1.159,,,,,
2009-05-06,1.176,1.176,1.176,,,,,
2009-05-07,1.173,1.173,1.173,,,,,
2009-05-08,1.178,1.178,1.178,,,,,
2009-05-11,1.152,1.152,1.152,,,,,
2009-05-12,1.176,1.176,1.176,,,,,
2009-05-13,1.183,1.183,1.183,,,,,
2009-05-14,1.183,1.183,1.183,,,,,
2009-05-15,1.187,1.187,1.187,,,,,
2009-05-18,1.198,1.198,1.198,,,,,
2009-05-19,1.21,1.21,1.21,,,,,
2009-05-20,1.208,1.208,1.208,,,,,
2009-05-21,1.187,1.187,1.187,,,,,
2009-05-22,1.179,1.179,1.179,,,,,
2009-05-25,1.19,1.19,1.19,,,,,
2009-05-26,1.173,1.173,1.173,,,,,
2009-05-27,1.181,1.181,1.181,,,,,
2009-06-01,1.217,1.217,1.217,,,,,
2009-06-02,1.221,1.221,1.221,,,,,
2009-06-03,1.249,1.249,1.249,,,,,
2009-06-04,1.253,1.253,1.253,,,,,
2009-06-05,1.247,1.247,1.247,,,,,
2009-06-08,1.246,1.246,1.246,,,,,
2009-06-09,1.249,1.249,1.249,,,,,
2009-06-10,1.257,1.257,1.257,,,,,
2009-06-11,1.245,1.245,1.245,,,,,
2009-06-12,1.227,1.227,1.227,,,,,
