,date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
0,2018-04-16,,,,1.0,,1.0,1.0,1.0
1,2018-04-17,,,,1.0,,1.0,1.0,1.0
2,2018-04-18,,,,1.0,,1.0,1.0,1.0
3,2018-04-19,,,,1.0,,1.0,1.0,1.0
4,2018-04-20,,,,1.0004,,1.0004,1.0004,1.0004
5,2018-04-23,,,,1.0004,,1.0004,1.0004,1.0004
6,2018-04-24,,,,1.0004,,1.0004,1.0004,1.0004
7,2018-04-25,,,,1.0004,,1.0004,1.0004,1.0004
8,2018-04-26,,,,1.0004,,1.0004,1.0004,1.0004
9,2018-04-27,,,,1.0009,,1.0009,1.0009,1.0009
10,2018-05-02,,,,1.0009,,1.0009,1.0009,1.0009
11,2018-05-03,,,,1.0009,,1.0009,1.0009,1.0009
12,2018-05-04,,,,1.0016,,1.0016,1.0016,1.0016
13,2018-05-07,,,,1.0016,,1.0016,1.0016,1.0016
14,2018-05-08,,,,1.0016,,1.0016,1.0016,1.0016
15,2018-05-09,,,,1.0016,,1.0016,1.0016,1.0016
16,2018-05-10,,,,1.0016,,1.0016,1.0016,1.0016
17,2018-05-11,,,,1.0008,,1.0008,1.0008,1.0008
18,2018-05-14,,,,1.0008,,1.0008,1.0008,1.0008
19,2018-05-15,,,,1.0008,,1.0008,1.0008,1.0008
20,2018-05-16,,,,1.0008,,1.0008,1.0008,1.0008
21,2018-05-17,,,,1.0008,,1.0008,1.0008,1.0008
22,2018-05-18,,,,1.0005,,1.0005,1.0005,1.0005
23,2018-05-21,,,,1.0005,,1.0005,1.0005,1.0005
24,2018-05-22,,,,1.0005,,1.0005,1.0005,1.0005
25,2018-05-23,,,,1.0005,,1.0005,1.0005,1.0005
26,2018-05-24,,,,1.0005,,1.0005,1.0005,1.0005
27,2018-05-25,,,,1.0012,,1.0012,1.0012,1.0012
28,2018-05-28,,,,1.0012,,1.0012,1.0012,1.0012
29,2018-05-29,,,,1.0012,,1.0012,1.0012,1.0012
30,2018-05-30,,,,1.0012,,1.0012,1.0012,1.0012
31,2018-05-31,,,,1.0012,,1.0012,1.0012,1.0012
32,2018-06-01,,,,1.0028,,1.0028,1.0028,1.0028
33,2018-06-04,,,,1.0028,,1.0028,1.0028,1.0028
34,2018-06-05,,,,1.0028,,1.0028,1.0028,1.0028
35,2018-06-06,,,,1.0028,,1.0028,1.0028,1.0028
36,2018-06-07,,,,1.0028,,1.0028,1.0028,1.0028
37,2018-06-08,,,,1.0028,,1.0028,1.0028,1.0028
38,2018-06-11,,,,1.0028,,1.0028,1.0028,1.0028
39,2018-06-12,,,,1.0028,,1.0028,1.0028,1.0028
40,2018-06-13,,,,1.0028,,1.0028,1.0028,1.0028
41,2018-06-14,,,,1.0028,,1.0028,1.0028,1.0028
42,2018-06-15,,,,1.002,,1.002,1.002,1.002
43,2018-06-19,,,,1.002,,1.002,1.002,1.002
44,2018-06-20,,,,1.002,,1.002,1.002,1.002
45,2018-06-21,,,,1.002,,1.002,1.002,1.002
46,2018-06-22,,,,1.0035,,1.0035,1.0035,1.0035
47,2018-06-25,,,,1.0035,,1.0035,1.0035,1.0035
48,2018-06-26,,,,1.0035,,1.0035,1.0035,1.0035
49,2018-06-27,,,,1.0035,,1.0035,1.0035,1.0035
50,2018-06-28,,,,1.0035,,1.0035,1.0035,1.0035
51,2018-06-29,,,,1.0055,,1.0055,1.0055,1.0055
52,2018-07-02,,,,1.0056,,1.0056,1.0056,1.0056
53,2018-07-03,,,,1.0056,,1.0056,1.0056,1.0056
54,2018-07-04,,,,1.0056,,1.0056,1.0056,1.0056
55,2018-07-05,,,,1.0056,,1.0056,1.0056,1.0056
56,2018-07-06,,,,1.0117,,1.0117,1.0117,1.0117
57,2018-07-09,,,,1.0117,,1.0117,1.0117,1.0117
58,2018-07-10,,,,1.0117,,1.0117,1.0117,1.0117
59,2018-07-11,,,,1.0117,,1.0117,1.0117,1.0117
60,2018-07-12,,,,1.0117,,1.0117,1.0117,1.0117
61,2018-07-13,,,,1.0126,,1.0126,1.0126,1.0126
62,2018-07-16,,,,1.0129,,1.0129,1.0129,1.0129
63,2018-07-17,,,,1.0128,,1.0128,1.0128,1.0128
64,2018-07-18,,,,1.0136,,1.0136,1.0136,1.0136
65,2018-07-19,,,,1.0142,,1.0142,1.0142,1.0142
66,2018-07-20,,,,1.0151,,1.0151,1.0151,1.0151
67,2018-07-23,,,,1.0164,,1.0164,1.0164,1.0164
68,2018-07-24,,,,1.0178,,1.0178,1.0178,1.0178
69,2018-07-25,,,,1.0188,,1.0188,1.0188,1.0188
70,2018-07-26,,,,1.0196,,1.0196,1.0196,1.0196
71,2018-07-27,,,,1.0208,,1.0208,1.0208,1.0208
72,2018-07-30,,,,1.0225,,1.0225,1.0225,1.0225
73,2018-07-31,,,,1.0242,,1.0242,1.0242,1.0242
74,2018-08-01,,,,1.0249,,1.0249,1.0249,1.0249
75,2018-08-02,,,,1.0267,,1.0267,1.0267,1.0267
76,2018-08-03,,,,1.028,,1.028,1.028,1.028
77,2018-08-06,,,,1.0289,,1.0289,1.0289,1.0289
78,2018-08-07,,,,1.0308,,1.0308,1.0308,1.0308
79,2018-08-08,,,,1.0312,,1.0312,1.0312,1.0312
80,2018-08-09,,,,1.03,,1.03,1.03,1.03
81,2018-08-10,,,,1.0276,,1.0276,1.0276,1.0276
82,2018-08-13,,,,1.0265,,1.0265,1.0265,1.0265
83,2018-08-14,,,,1.026,,1.026,1.026,1.026
84,2018-08-15,,,,1.0266,,1.0266,1.0266,1.0266
85,2018-08-16,,,,1.0258,,1.0258,1.0258,1.0258
86,2018-08-17,,,,1.0243,,1.0243,1.0243,1.0243
87,2018-08-20,,,,1.0219,,1.0219,1.0219,1.0219
88,2018-08-21,,,,1.0216,,1.0216,1.0216,1.0216
89,2018-08-22,,,,1.0215,,1.0215,1.0215,1.0215
90,2018-08-23,,,,1.0229,,1.0229,1.0229,1.0229
91,2018-08-24,,,,1.0234,,1.0234,1.0234,1.0234
92,2018-08-27,,,,1.0235,,1.0235,1.0235,1.0235
93,2018-08-28,,,,1.0235,,1.0235,1.0235,1.0235
94,2018-08-29,,,,1.0231,,1.0231,1.0231,1.0231
95,2018-08-30,,,,1.023,,1.023,1.023,1.023
96,2018-08-31,,,,1.0239,,1.0239,1.0239,1.0239
97,2018-09-03,,,,1.0241,,1.0241,1.0241,1.0241
98,2018-09-04,,,,1.0244,,1.0244,1.0244,1.0244
99,2018-09-05,,,,1.0243,,1.0243,1.0243,1.0243
100,2018-09-06,,,,1.0241,,1.0241,1.0241,1.0241
101,2018-09-07,,,,1.0237,,1.0237,1.0237,1.0237
102,2018-09-10,,,,1.0237,,1.0237,1.0237,1.0237
103,2018-09-11,,,,1.023,,1.023,1.023,1.023
104,2018-09-12,,,,1.0227,,1.0227,1.0227,1.0227
105,2018-09-13,,,,1.0228,,1.0228,1.0228,1.0228
106,2018-09-14,,,,1.0235,,1.0235,1.0235,1.0235
107,2018-09-17,,,,1.0241,,1.0241,1.0241,1.0241
108,2018-09-18,,,,1.0241,,1.0241,1.0241,1.0241
109,2018-09-19,,,,1.0244,,1.0244,1.0244,1.0244
110,2018-09-20,,,,1.0243,,1.0243,1.0243,1.0243
111,2018-09-21,,,,1.0246,,1.0246,1.0246,1.0246
112,2018-09-25,,,,1.025,,1.025,1.025,1.025
113,2018-09-26,,,,1.0116,,1.0116,1.0251,1.0251018252
114,2018-09-27,,,,1.0119,,1.0119,1.0254,1.0254058293
115,2018-09-28,,,,1.0127,,1.0127,1.0262,1.0262165069
116,2018-10-08,,,,1.0145,,1.0145,1.028,1.0280405315
117,2018-10-09,,,,1.0152,,1.0152,1.0287,1.0287498743999999
118,2018-10-10,,,,1.0157,,1.0157,1.0292,1.0292565479
119,2018-10-11,,,,1.0169,,1.0169,1.0304,1.0304725643000001
120,2018-10-12,,,,1.0176,,1.0176,1.0311,1.0311819072
121,2018-10-15,,,,1.0188,,1.0188,1.0323,1.0323979235999998
122,2018-10-16,,,,1.0196,,1.0196,1.0331,1.0332086012
123,2018-10-17,,,,1.0199,,1.0199,1.0334,1.0335126053
124,2018-10-18,,,,1.0206,,1.0206,1.0341,1.0342219482
125,2018-10-19,,,,1.021,,1.021,1.0345,1.034627287
126,2018-10-22,,,,1.0207,,1.0207,1.0342,1.0343232829
127,2018-10-23,,,,1.0211,,1.0211,1.0346,1.0347286216999998
128,2018-10-24,,,,1.0214,,1.0214,1.0349,1.0350326258
129,2018-10-25,,,,1.0217,,1.0217,1.0352,1.0353366299
130,2018-10-26,,,,1.0221,,1.0221,1.0356,1.0357419687
131,2018-10-29,,,,1.0225,,1.0225,1.036,1.0361473075
132,2018-10-30,,,,1.0231,,1.0231,1.0366,1.0367553156999998
133,2018-10-31,,,,1.0235,,1.0235,1.037,1.0371606545
134,2018-11-01,,,,1.024,,1.024,1.0375,1.037667328
135,2018-11-02,,,,1.024,,1.024,1.0375,1.037667328
136,2018-11-05,,,,1.0242,,1.0242,1.0377,1.0378699973999999
137,2018-11-06,,,,1.0242,,1.0242,1.0377,1.0378699973999999
138,2018-11-07,,,,1.0246,,1.0246,1.0381,1.0382753362000001
139,2018-11-08,,,,1.0251,,1.0251,1.0386,1.0387820096999998
140,2018-11-09,,,,1.0258,,1.0258,1.0393,1.0394913526
141,2018-11-12,,,,1.026,,1.026,1.0395,1.039694022
142,2018-11-13,,,,1.0261,,1.0261,1.0396,1.0397953567
143,2018-11-14,,,,1.0276,,1.0276,1.0411,1.0413153772
144,2018-11-15,,,,1.0282,,1.0282,1.0417,1.0419233854
145,2018-11-16,,,,1.0297,,1.0297,1.0432,1.0434434059
146,2018-11-19,,,,1.0303,,1.0303,1.0438,1.0440514141
147,2018-11-20,,,,1.031,,1.031,1.0445,1.044760757
148,2018-11-21,,,,1.031,,1.031,1.0445,1.044760757
149,2018-11-22,,,,1.0314,,1.0314,1.0449,1.0451660958000002
150,2018-11-23,,,,1.0317,,1.0317,1.0452,1.0454700999
151,2018-11-26,,,,1.0319,,1.0319,1.0454,1.0456727693
152,2018-11-27,,,,1.0315,,1.0315,1.045,1.0452674305
153,2018-11-28,,,,1.0313,,1.0313,1.0448,1.0450647611
154,2018-11-29,,,,1.0312,,1.0312,1.0447,1.0449634263999998
155,2018-11-30,,,,1.0313,,1.0313,1.0448,1.0450647611
156,2018-12-03,,,,1.0314,,1.0314,1.0449,1.0451660958000002
157,2018-12-04,,,,1.0321,,1.0321,1.0456,1.0458754387
158,2018-12-05,,,,1.0328,,1.0328,1.0463,1.0465847816
159,2018-12-06,,,,1.0338,,1.0338,1.0473,1.0475981286
160,2018-12-07,,,,1.0345,,1.0345,1.048,1.0483074715
161,2018-12-10,,,,1.0353,,1.0353,1.0488,1.0491181491
162,2018-12-11,,,,1.0357,,1.0357,1.0492,1.0495234879000002
163,2018-12-12,,,,1.0364,,1.0364,1.0499,1.0502328308
164,2018-12-13,,,,1.0356,,1.0356,1.0491,1.0494221531999999
165,2018-12-14,,,,1.0352,,1.0352,1.0487,1.0490168143999998
166,2018-12-17,,,,1.035,,1.035,1.0485,1.048814145
167,2018-12-18,,,,1.0341,,1.0341,1.0476,1.0479021327
168,2018-12-19,,,,1.0345,,1.0345,1.048,1.0483074715
169,2018-12-20,,,,1.0353,,1.0353,1.0488,1.0491181491
170,2018-12-21,,,,1.0359,,1.0359,1.0494,1.0497261573
171,2018-12-24,,,,1.0129,,1.0129,1.0498,1.050140868882
172,2018-12-25,,,,1.0132,,1.0132,1.0501,1.050451898856
173,2018-12-26,,,,1.0134,,1.0134,1.0503,1.0506592521720002
174,2018-12-27,,,,1.0137,,1.0137,1.0506,1.050970282146
175,2018-12-28,,,,1.0151,,1.0151,1.052,1.052421755358
176,2019-01-02,,,,1.0170000000000001,,1.0170000000000001,1.0539,1.05439161186
177,2019-01-03,,,,1.0186,,1.0186,1.0555,1.056050438388
