,date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
0,2016-07-27,,,,1.0,,1.0,1.0,1.0
1,2016-07-28,,,,1.0,,1.0,1.0,1.0
2,2016-07-29,,,,1.0,,1.0,1.0,1.0
3,2016-08-01,,,,1.0,,1.0,1.0,1.0
4,2016-08-02,,,,1.0,,1.0,1.0,1.0
5,2016-08-03,,,,1.0,,1.0,1.0,1.0
6,2016-08-04,,,,1.0,,1.0,1.0,1.0
7,2016-08-05,,,,1.001,,1.001,1.001,1.001
8,2016-08-08,,,,1.005,,1.005,1.005,1.005
9,2016-08-09,,,,1.006,,1.006,1.006,1.006
10,2016-08-10,,,,1.005,,1.005,1.005,1.005
11,2016-08-11,,,,1.005,,1.005,1.005,1.005
12,2016-08-12,,,,1.01,,1.01,1.01,1.01
13,2016-08-15,,,,1.014,,1.014,1.014,1.014
14,2016-08-16,,,,1.0190000000000001,,1.0190000000000001,1.0190000000000001,1.0190000000000001
15,2016-08-17,,,,1.015,,1.015,1.015,1.015
16,2016-08-18,,,,1.021,,1.021,1.021,1.021
17,2016-08-19,,,,1.022,,1.022,1.022,1.022
18,2016-08-22,,,,1.024,,1.024,1.024,1.024
19,2016-08-23,,,,1.0190000000000001,,1.0190000000000001,1.0190000000000001,1.0190000000000001
20,2016-08-24,,,,1.014,,1.014,1.014,1.014
21,2016-08-25,,,,1.013,,1.013,1.013,1.013
22,2016-08-26,,,,1.018,,1.018,1.018,1.018
23,2016-08-29,,,,1.023,,1.023,1.023,1.023
24,2016-08-30,,,,1.031,,1.031,1.031,1.031
25,2016-08-31,,,,1.0290000000000001,,1.0290000000000001,1.0290000000000001,1.0290000000000001
26,2016-09-01,,,,1.028,,1.028,1.028,1.028
27,2016-09-02,,,,1.033,,1.033,1.033,1.033
28,2016-09-05,,,,1.051,,1.051,1.051,1.051
29,2016-09-06,,,,1.061,,1.061,1.061,1.061
30,2016-09-07,,,,1.056,,1.056,1.056,1.056
31,2016-09-08,,,,1.062,,1.062,1.062,1.062
32,2016-09-09,,,,1.0590000000000002,,1.0590000000000002,1.0590000000000002,1.0590000000000002
33,2016-09-12,,,,1.0390000000000001,,1.0390000000000001,1.0390000000000001,1.0390000000000001
34,2016-09-13,,,,1.036,,1.036,1.036,1.036
35,2016-09-14,,,,1.038,,1.038,1.038,1.038
36,2016-09-19,,,,1.042,,1.042,1.042,1.042
37,2016-09-20,,,,1.045,,1.045,1.045,1.045
38,2016-09-21,,,,1.052,,1.052,1.052,1.052
39,2016-09-22,,,,1.0490000000000002,,1.0490000000000002,1.0490000000000002,1.0490000000000002
40,2016-09-23,,,,1.046,,1.046,1.046,1.046
41,2016-09-26,,,,1.026,,1.026,1.026,1.026
42,2016-09-27,,,,1.036,,1.036,1.036,1.036
43,2016-09-28,,,,1.036,,1.036,1.036,1.036
44,2016-09-29,,,,1.038,,1.038,1.038,1.038
45,2016-09-30,,,,1.025,,1.025,1.025,1.025
46,2016-10-10,,,,1.026,,1.026,1.026,1.026
47,2016-10-11,,,,1.046,,1.046,1.046,1.046
48,2016-10-12,,,,1.045,,1.045,1.045,1.045
49,2016-10-13,,,,1.04,,1.04,1.04,1.04
50,2016-10-14,,,,1.04,,1.04,1.04,1.04
51,2016-10-17,,,,1.045,,1.045,1.045,1.045
52,2016-10-18,,,,1.0490000000000002,,1.0490000000000002,1.0490000000000002,1.0490000000000002
53,2016-10-19,,,,1.056,,1.056,1.056,1.056
54,2016-10-20,,,,1.062,,1.062,1.062,1.062
55,2016-10-21,,,,1.064,,1.064,1.064,1.064
56,2016-10-24,,,,1.071,,1.071,1.071,1.071
57,2016-10-25,,,,1.072,,1.072,1.072,1.072
58,2016-10-26,,,,1.064,,1.064,1.064,1.064
59,2016-10-27,,,,1.054,,1.054,1.054,1.054
60,2016-10-28,,,,1.054,,1.054,1.054,1.054
61,2016-10-31,,,,1.033,,1.033,1.033,1.033
62,2016-11-01,,,,1.041,,1.041,1.041,1.041
63,2016-11-02,,,,1.036,,1.036,1.036,1.036
64,2016-11-03,,,,1.032,,1.032,1.032,1.032
65,2016-11-04,,,,1.0290000000000001,,1.0290000000000001,1.0290000000000001,1.0290000000000001
66,2016-11-07,,,,1.04,,1.04,1.04,1.04
67,2016-11-08,,,,1.043,,1.043,1.043,1.043
68,2016-11-09,,,,1.04,,1.04,1.04,1.04
69,2016-11-10,,,,1.046,,1.046,1.046,1.046
70,2016-11-11,,,,1.036,,1.036,1.036,1.036
71,2016-11-14,,,,1.028,,1.028,1.028,1.028
72,2016-11-15,,,,1.026,,1.026,1.026,1.026
73,2016-11-16,,,,1.031,,1.031,1.031,1.031
